,date,ALGN,AMGN,BAX,BDX,BIIB,BIO,BSX,CAH,CI,CNC,COO,COR,CRL,CTLT,DGX,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,LH,MCK,MDNAF,MDT,MOH,MTD,PODD,REGN,RVTY,STE,SYK,TECH,TMO,Ticker,UBER,UHS,UNH,VRTX,WAT,WST,XRAY,ZBH
1390,12/02/2021,624.93,201.17,76.23,236.039024390244,228.52,748.22,39.6,46.81,197.79,71.42,377.95,115.8,365.96,127.65,154.32,98.36,140.055,399.74,109.82,,69.67,232.06,73.77,71.51,421.44,599.01,357.48,66.63,262.73,327.32,250.231958762887,220.41,1.74,107.28,288.02,1547.6,287.24,634.0,179.99,220.63,247.4,116.8175,627.58,,38.12,121.62,446.02,204.45,334.0,437.39,49.43,119.349514563107
1391,12/02/2022,198.41,285.51,53.22,252.38,298.9,419.06,46.6,80.88,327.2,85.79,322.32,173.99,222.66,52.25,150.46,74.34,118.11,523.6,76.55,,89.03,239.03,76.5,83.29,546.78,435.3,218.76,83.13,217.73,272.25,207.534364261168,386.85,0.552,79.62,334.17,1486.1,308.06,766.39,139.23,191.91,243.11,84.69,563.0,,28.75,129.35,536.16,321.37,347.37,244.35,31.68,122.97
1392,12/03/2018,235.7,202.93,69.2,246.4,332.19,277.45,38.51,56.2,224.84,73.415,281.66,89.02,137.23,40.29,90.8,66.38,34.1475,296.25,54.48,,70.86,146.29,44.89,70.9019607843137,333.48,206.36,350.25,68.32,127.38,182.976666666667,127.207903780069,127.16,0.913,98.75,138.46,645.33,86.46,382.61,90.6,120.31,173.89,41.0525,251.98,,,136.98,286.33,184.65,201.51,110.85,37.83,113.04854368932
1393,12/03/2019,276.36,232.77,81.01,249.492682926829,290.7,371.58,42.61,54.53,195.33,60.07,311.42,87.43,143.73,51.36,105.61,72.29,57.165,286.19,81.52,,66.07,138.17,51.69,68.84,341.84,248.66,322.97,94.1,143.34,193.076666666667,146.297250859107,141.79,1.03,110.99,133.19,712.04,184.04,368.81,91.49,152.08,203.07,53.8825,312.89,,29.02,140.33,276.9,221.13,221.36,147.36,57.13,139.223300970874
1394,12/03/2020,511,226.91,76.32,232.692682926829,244.09,553.27,33.81,55.43,213.39,63.68,337.98,101.5,234.99,93.47,122.82,105.42,86.1575,323.03,83.65,,60.86,152.75,72.49,66.47,403.83,460.07,346.0,82.9,167.63,252.906666666667,168.93470790378,179.16,3.97,112.47,208.12,1132.0,255.54,498.84,138.02,192.69,234.78,74.7375,477.2,,52.52,132.4,348.68,226.87,232.59,272.24,52.15,142.04854368932
1395,12/03/2021,619.75,202.44,78.05,238.165853658537,223.92,741.38,39.46,47.02,199.86,71.05,391.56,116.76,357.38,122.47,157.06,98.84,129.8725,395,108.48,,69.56,230.03,73.94,71.16,421.7,586.54,347.28,65.78,261.68,321.63,249.415807560137,218.66,1.59,106.87,285.95,1529.53,263.17,635.16,183.17,219.57,246.87,114.0375,636.11,,35.85,121.64,449.32,203.81,331.35,434.13,50.72,117.68932038835
1396,12/04/2018,220.95,197.76,67.26,238.946341463415,322.73,266.4,36.52,55.07,217.84,71.09,274.9,87.61,133.62,38.07,89.74,64.07,31.9775,292.92,52.45,,69.55,142.13,43.9,70.5254901960784,324.47,196.8,334.21,65.52,123.15,172.94,123.135738831615,125.05,0.913,96.49,140.0,628.67,82.64,372.8,86.66,119.19,172.25,40.0975,243.89,,,134.59,278.55,177.93,195.45,109.25,36.81,108.728155339806
1397,12/04/2019,277.71,233.88,82.43,250.956097560976,289.52,371.36,43.01,54.78,196.74,59.98,312.09,88.36,145.39,51.78,106.3,72.56,57.295,287.38,82.0633333333333,,66.75,140.61,52.14,69.15,344.12,251.86,319.68,95.0,145.14,194.11,147.611683848797,142.96,1.04,111.94,133.36,731.66,182.89,369.97,92.38,154.07,204.37,54.595,315.64,,29.06,141.02,279.32,223.91,224.95,147.58,57.59,144.04854368932
1398,12/04/2020,521.72,229.21,78,236.839024390244,245.87,559.4,34.41,56.99,217.65,64.6,345.71,102.98,237.42,95.4,123.29,109.3,87.0075,323.27,85.76,,61.56,157.68,73.16,68.42,412.78,457.15,350.66,83.14,170.61,260.113333333333,170.833333333333,180.76,3.86,113.85,213.72,1131.75,258.88,492.45,141.78,193.49,239.59,76.645,474.62,,54.86,135.18,349.89,228.32,237.74,271.55,53.75,144.708737864078
1399,12/04/2023,219.6,272.54,36.89,237.57,232.85,308.93,54.77,107.46,262.91,74.03,338.32,203.76,200.61,39.97,137.49,106.59,118.24,483.1,69.18,69.37,78.34,257.14,70.58,69.31,491.98,516.61,114.34,54.96,216.27,311.84,222.0,459.3,0.335,79.76,365.56,1102.84,193.99,823.32,91.76,199.27,290.95,65.3,495.34,,58.63,139.76,548.28,350.63,288.79,350.88,32.73,116.89
